,coil_no,YieldStrength,TensileStrength,TotalElongation,coil_thickness,steel_design_description,grade,grade_head,grade_tail,sample_direction,sample_location,c_amount,mn_amount,p_amount,s_amount,si_amount,cu_amount,ni_amount,cr_amount,mo_amount,al_amount,nb_amount,ca_amount,n_amount,ti_amount,v_amount,TF1_EXIT_AVG_BODY,TBC_thickness,TEMP_FM_ENTRY_AVG,TEMP_FM_EXIT_AVG,TEMP_COILING_AVG
5231,23B168135,55.1,77.5,28.75,0.369199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.205,0.431,0.0061,0.0019,0.018,0.105,0.038,0.036,0.013,0.0291,0.0,0.0025,0.0109,0.0,0.004,2064.974,49.27444,1873.0,1650.0,1167.0
5232,23B168139,58.85,82.45,29.205,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS55,T,T,0.205,0.431,0.0061,0.0019,0.018,0.105,0.038,0.036,0.013,0.0291,0.0,0.0025,0.0109,0.0,0.004,2068.61,49.26701,1886.0,1644.0,1176.0
5282,23B168245,50.5,72.2,38.87,0.50220000743866,20SS50 650175,20SS50,20SS55,20SS50,T,T,0.208,0.455,0.0069,0.0037,0.022,0.129,0.051,0.042,0.013,0.0325,0.002,0.0025,0.0096,0.001,0.004,2084.99,54.16606,1850.0,1648.0,1198.0
5283,23B168251,52.5,74.0,38.48,0.495200008153915,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.208,0.455,0.0069,0.0037,0.022,0.129,0.051,0.042,0.013,0.0325,0.002,0.0025,0.0096,0.001,0.004,2071.274,54.18094,1837.0,1644.0,1166.0
5390,23B168696,54.5,78.0,25.84,0.369300007820129,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.208,0.416,0.0057,0.0004,0.018,0.119,0.043,0.047,0.013,0.023,0.0,0.0028,0.0105,0.0,0.004,2017.04,54.20487,1832.0,1668.0,1193.0
5391,23B168698,55.4,77.5,25.97,0.369199991226196,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.208,0.416,0.0057,0.0004,0.018,0.119,0.043,0.047,0.013,0.023,0.0,0.0028,0.0105,0.0,0.004,2047.262,54.19375,1850.0,1635.0,1171.0
5392,23B168702,52.9,75.7,28.01,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.208,0.416,0.0057,0.0004,0.018,0.119,0.043,0.047,0.013,0.023,0.0,0.0028,0.0105,0.0,0.004,2051.888,54.20215,1855.0,1652.0,1187.0
5393,23B168704,52.9,74.1,29.21,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.202,0.413,0.0052,0.0006,0.018,0.1,0.035,0.042,0.009,0.0296,0.002,0.0014,0.0085,0.0,0.004,2065.532,54.1972,1853.0,1653.0,1184.0
5394,23B168711,54.7,77.1,32.72,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.202,0.413,0.0052,0.0006,0.018,0.1,0.035,0.042,0.009,0.0296,0.002,0.0014,0.0085,0.0,0.004,2037.65,54.20817,1866.0,1632.0,1169.0
5395,23B168713,54.9,74.8,27.98,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.213,0.442,0.0056,0.001,0.043,0.097,0.037,0.034,0.012,0.0327,0.0,0.0029,0.0099,0.001,0.004,2052.59,54.20512,1868.0,1657.0,1187.0
5396,23B168716,55.7,75.3,29.96,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.213,0.442,0.0056,0.001,0.043,0.097,0.037,0.034,0.012,0.0327,0.0,0.0029,0.0099,0.001,0.004,2055.038,54.20068,1860.0,1653.0,1182.0
5397,23B168722,55.4,77.3,26.98,0.369100004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.211,0.445,0.0077,0.0006,0.021,0.116,0.039,0.062,0.011,0.0368,0.0,0.002,0.0092,0.001,0.004,2083.964,54.18628,1851.0,1655.0,1176.0
5398,23B168726,56.1,77.7,26.65,0.368099987506866,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.211,0.445,0.0077,0.0006,0.021,0.116,0.039,0.062,0.011,0.0368,0.0,0.002,0.0092,0.001,0.004,2082.038,54.18574,1889.0,1653.0,1178.0
5782,23B170003,51.0,74.5,39.67,0.7432000041008,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.207,0.479,0.0065,0.0005,0.023,0.106,0.04,0.062,0.015,0.0324,0.001,0.0013,0.0095,0.001,0.005,2122.142,54.16301,1857.0,1670.0,1158.0
5783,23B170007,52.4,72.8,37.79,0.625100016593933,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.207,0.479,0.0065,0.0005,0.023,0.106,0.04,0.062,0.015,0.0324,0.001,0.0013,0.0095,0.001,0.005,2077.106,54.17056,1855.0,1628.0,1167.0
5787,23B170024,54.3,74.1,37.61,0.495299994945526,20SS50 650175,20SS50,[],[],T,T,0.206,0.497,0.0058,0.0002,0.036,0.098,0.042,0.062,0.014,0.0308,0.0,0.003,0.0104,0.001,0.005,1941.89,54.23839,1792.0,1635.0,1164.0
5788,23B170030,53.5,73.5,35.53,0.494100004434586,20SS50 650175,20SS50,[],[],T,T,0.206,0.497,0.0058,0.0002,0.036,0.098,0.042,0.062,0.014,0.0308,0.0,0.003,0.0104,0.001,0.005,2030.0,54.20667,1837.0,1643.0,1167.0
5789,23B170034,53.8,73.5,36.36,0.494199991226196,20SS50 650175,20SS50,[],[],L,T,0.202,0.481,0.0065,0.0,0.026,0.091,0.037,0.059,0.012,0.0301,0.0,0.0014,0.0094,0.001,0.005,2022.008,54.20325,1832.0,1626.0,1166.0
